team_id,base_camp_id
FRA,79
IRQ,21
ARG,60
NZL,4
COD,42
POR,45
SCO,49
PAN,1
CAN,46
HAI,19
PAR,33
GHA,7
SWE,32
ESP,28
CZE,34
GER,17
NOR,5
RSA,71
EGY,72
ALG,11
MEX,47
URU,20
BRA,40
TUN,22
JOR,38
KOR,25
AUS,73
ENG,68
IRN,16
COL,24
USA,66
SUI,64
CPV,65
QAT,69
BEL,30
ECU,74
CIV,51
BIH,59
AUT,37
CUW,77
JPN,62
UZB,18
CRO,53
NED,9
MAR,26
KSA,23
TUR,43
SEN,12
